id,title,authors,venue,year,text
4894,on the turanâ ?? kubilius inequality,cm stein,"technical report no. 220 , stanford university ,",,"COL title VAL on the turanâ ?? kubilius inequality COL authors VAL cm stein COL venue VAL technical report no. 220 , stanford university , COL year VAL "
4895,dehydrogenases in the same cell,"pj stoward , y nakae","histochemical journal ,",1988.0,"COL title VAL dehydrogenases in the same cell COL authors VAL pj stoward , y nakae COL venue VAL histochemical journal , COL year VAL 1988.0"
4896,legion : an operating system for wide-area computing,"a grimshaw , a ferrari , f knabe , m humphrey",,,"COL title VAL legion : an operating system for wide-area computing COL authors VAL a grimshaw , a ferrari , f knabe , m humphrey COL venue VAL  COL year VAL "
4897,kinematic bifurcations in the simulation of deployable structures,"p kumar , s pellegrino","iass-iacm , isasr , athens , greece ,",,"COL title VAL kinematic bifurcations in the simulation of deployable structures COL authors VAL p kumar , s pellegrino COL venue VAL iass-iacm , isasr , athens , greece , COL year VAL "
4898,multiplayer gaming : two or more is war,me ryan,"pc magazine-american edition - ,",,"COL title VAL multiplayer gaming : two or more is war COL authors VAL me ryan COL venue VAL pc magazine-american edition - , COL year VAL "
4899,social information processing factors in reactive and proactive aggression in childrenâ ?? s peer,"ka dodge , jd coie","journal of personality and social psychology ,",1987.0,"COL title VAL social information processing factors in reactive and proactive aggression in childrenâ ?? s peer COL authors VAL ka dodge , jd coie COL venue VAL journal of personality and social psychology , COL year VAL 1987.0"
4900,virtual document generation from multimedia repositories,"if cruz , wt lucas","proc . 5th acm int . multimedia conf ,",,"COL title VAL virtual document generation from multimedia repositories COL authors VAL if cruz , wt lucas COL venue VAL proc . 5th acm int . multimedia conf , COL year VAL "
4901,temporal and selective association of multiple sigma factors with rna polymerase during sporulation,m fujita,"genes to cells ,",2000.0,"COL title VAL temporal and selective association of multiple sigma factors with rna polymerase during sporulation COL authors VAL m fujita COL venue VAL genes to cells , COL year VAL 2000.0"
4902,lipid modification and coronary heart disease in,"md feher , rs elkeles","md ,",1999.0,"COL title VAL lipid modification and coronary heart disease in COL authors VAL md feher , rs elkeles COL venue VAL md , COL year VAL 1999.0"
4903,its thrashing behavior,"a thomasian , tpl performance","acm tods ,",,"COL title VAL its thrashing behavior COL authors VAL a thomasian , tpl performance COL venue VAL acm tods , COL year VAL "
4904,"multiplane transesophageal echocardiography : image orientation , examination technique , anatomic","jb seward , bk khandheria , wk freeman , jk oh","mayo clinic proceedings ,",1993.0,"COL title VAL multiplane transesophageal echocardiography : image orientation , examination technique , anatomic COL authors VAL jb seward , bk khandheria , wk freeman , jk oh COL venue VAL mayo clinic proceedings , COL year VAL 1993.0"
4905,eager aggregation and lazy aggregation,"pa larson , wp yan",,,"COL title VAL eager aggregation and lazy aggregation COL authors VAL pa larson , wp yan COL venue VAL  COL year VAL "
4906,"maximum modems , 14,400 bps and rising .",fj derfler,pc,,"COL title VAL maximum modems , 14,400 bps and rising . COL authors VAL fj derfler COL venue VAL pc COL year VAL "
4907,the dynamic nature of conflict : a longitudinal study of intragroup conflict and group performance,"ka jehn , ea mannix",,,"COL title VAL the dynamic nature of conflict : a longitudinal study of intragroup conflict and group performance COL authors VAL ka jehn , ea mannix COL venue VAL  COL year VAL "
4908,infective endocarditis in intravenous drug users : does hiv status alter the presenting temperature,"dj robinson , mc lazo , t davis , ja kufera","journal of emergency medicine ,",2000.0,"COL title VAL infective endocarditis in intravenous drug users : does hiv status alter the presenting temperature COL authors VAL dj robinson , mc lazo , t davis , ja kufera COL venue VAL journal of emergency medicine , COL year VAL 2000.0"
4909,new concepts of cattle growth .,"rt berg , rm butterfield",,1976.0,"COL title VAL new concepts of cattle growth . COL authors VAL rt berg , rm butterfield COL venue VAL  COL year VAL 1976.0"
4910,scheduling to minimize average stretch without migration,l becchetti,,,COL title VAL scheduling to minimize average stretch without migration COL authors VAL l becchetti COL venue VAL  COL year VAL 
4911,ethics in practice,"e perloff , jk perloff","new directions for program evaluation ,",1980.0,"COL title VAL ethics in practice COL authors VAL e perloff , jk perloff COL venue VAL new directions for program evaluation , COL year VAL 1980.0"
4912,rural space as intellectual property,w moran,"political geography ,",1993.0,"COL title VAL rural space as intellectual property COL authors VAL w moran COL venue VAL political geography , COL year VAL 1993.0"
4913,scheduling real-time transactions : a performance evaluation '' 14th int,"r abbott , h garcia-molina","conf . on vldb ,",,"COL title VAL scheduling real-time transactions : a performance evaluation '' 14th int COL authors VAL r abbott , h garcia-molina COL venue VAL conf . on vldb , COL year VAL "
4914,preferences for separating or combining events,"pw linville , gw fischer","journal of personality and social psychology ,",1991.0,"COL title VAL preferences for separating or combining events COL authors VAL pw linville , gw fischer COL venue VAL journal of personality and social psychology , COL year VAL 1991.0"
4915,simon : a grammar-based transformation system for structured documents,"a feng , t wakayama",,,"COL title VAL simon : a grammar-based transformation system for structured documents COL authors VAL a feng , t wakayama COL venue VAL  COL year VAL "
4916,efficient and flexible methods for transient versioning of records to avoid locking by read-only,"c mohan , h pirahesh , r lorie","proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0,"COL title VAL efficient and flexible methods for transient versioning of records to avoid locking by read-only COL authors VAL c mohan , h pirahesh , r lorie COL venue VAL proceedings of the 1992 acm sigmod international conference & hellip ; , COL year VAL 1992.0"
4917,computer hardware and software,bz gottesman,"pc magazine , november ,",,"COL title VAL computer hardware and software COL authors VAL bz gottesman COL venue VAL pc magazine , november , COL year VAL "
4918,"delille , jacques : delfort , robert",m de lenois,,,"COL title VAL delille , jacques : delfort , robert COL authors VAL m de lenois COL venue VAL  COL year VAL "
4919,the ordered weighted geometric operator : properties and application,"f chiclana , f herrera , e herrera-viedma","proc ,",2000.0,"COL title VAL the ordered weighted geometric operator : properties and application COL authors VAL f chiclana , f herrera , e herrera-viedma COL venue VAL proc , COL year VAL 2000.0"
4920,mixed initiative in dialogue : an investigation into discourse,"ma walker , s whittaker","proc . 28th ann . meeting assoc. computational linguistics ,",,"COL title VAL mixed initiative in dialogue : an investigation into discourse COL authors VAL ma walker , s whittaker COL venue VAL proc . 28th ann . meeting assoc. computational linguistics , COL year VAL "
4921,catastrophism & the old testament : the mars - earth conflicts,dw patten,,1988.0,COL title VAL catastrophism & the old testament : the mars - earth conflicts COL authors VAL dw patten COL venue VAL  COL year VAL 1988.0
4922,descriptive statistics on lightning activity over italy obtained by means of the italian lightning,"r iorio , d ferrari","proceedings of the 23rd international conference on & hellip ; ,",,"COL title VAL descriptive statistics on lightning activity over italy obtained by means of the italian lightning COL authors VAL r iorio , d ferrari COL venue VAL proceedings of the 23rd international conference on & hellip ; , COL year VAL "
4923,architecture-driven component reuse,pav hall,"information and software technology ,",,"COL title VAL architecture-driven component reuse COL authors VAL pav hall COL venue VAL information and software technology , COL year VAL "
4924,"point processes and queues , martingale dynamics",p brã © maud,,1981.0,"COL title VAL point processes and queues , martingale dynamics COL authors VAL p brã © maud COL venue VAL  COL year VAL 1981.0"
4925,a high photosensitivity il-ccd image sensor with monolithic resin lens array,"y ishihara , k tanigaki",,,"COL title VAL a high photosensitivity il-ccd image sensor with monolithic resin lens array COL authors VAL y ishihara , k tanigaki COL venue VAL  COL year VAL "
4926,a modal calculus for named control effects,a nanevski,"unpublished manuscript ,",2004.0,"COL title VAL a modal calculus for named control effects COL authors VAL a nanevski COL venue VAL unpublished manuscript , COL year VAL 2004.0"
4927,integrating mining with relational database systems : alternativesandimplications,"s sarawagi , s thomas , r agrawal","inacm sigmod international conference on management of data & hellip ; ,",,"COL title VAL integrating mining with relational database systems : alternativesandimplications COL authors VAL s sarawagi , s thomas , r agrawal COL venue VAL inacm sigmod international conference on management of data & hellip ; , COL year VAL "
4928,chemistry for future [ j ],r breslow,"acc chem res ,",,"COL title VAL chemistry for future [ j ] COL authors VAL r breslow COL venue VAL acc chem res , COL year VAL "
4929,isbn 0 wiley,w wiley,,,COL title VAL isbn 0 wiley COL authors VAL w wiley COL venue VAL  COL year VAL 
4930,structured prioritized sweeping,r dearden,,,COL title VAL structured prioritized sweeping COL authors VAL r dearden COL venue VAL  COL year VAL 
4931,evolutionary algorithm performance profiles on the adaptive distributed database management problem,mj oates,"bt technology journal ,",2000.0,"COL title VAL evolutionary algorithm performance profiles on the adaptive distributed database management problem COL authors VAL mj oates COL venue VAL bt technology journal , COL year VAL 2000.0"
4932,guest editorial machine learning for the internet,"gw flake , p frasconi , c giles , m maggini","acm transactions on internet technology ,",2004.0,"COL title VAL guest editorial machine learning for the internet COL authors VAL gw flake , p frasconi , c giles , m maggini COL venue VAL acm transactions on internet technology , COL year VAL 2004.0"
