id,title,authors,venue,year,text
317,an optimal and progressive algorithm for skyline queries,"d papadias , y tao , g fu , b seeger",sigmod conference,2003,"COL title VAL an optimal and progressive algorithm for skyline queries COL authors VAL d papadias , y tao , g fu , b seeger COL venue VAL sigmod conference COL year VAL 2003"
318,information director 's message,,,2000,COL title VAL information director 's message COL authors VAL  COL venue VAL  COL year VAL 2000
319,sigmod anthology editor 's message,,,2000,COL title VAL sigmod anthology editor 's message COL authors VAL  COL venue VAL  COL year VAL 2000
320,contorting high dimensional data for efficient main memory processing,"b cui , b ooi , j su , k tan",sigmod conference,2003,"COL title VAL contorting high dimensional data for efficient main memory processing COL authors VAL b cui , b ooi , j su , k tan COL venue VAL sigmod conference COL year VAL 2003"
321,chair 's message,,,2000,COL title VAL chair 's message COL authors VAL  COL venue VAL  COL year VAL 2000
322,visionary : a next generation visualization system for databases,m stonebraker,sigmod conference,2003,COL title VAL visionary : a next generation visualization system for databases COL authors VAL m stonebraker COL venue VAL sigmod conference COL year VAL 2003
323,comparative analysis of six xml schema languages,"d lee , w chu",sigmod record,2000,"COL title VAL comparative analysis of six xml schema languages COL authors VAL d lee , w chu COL venue VAL sigmod record COL year VAL 2000"
324,extracting and exploiting structure in text search,p raghavan,sigmod conference,2003,COL title VAL extracting and exploiting structure in text search COL authors VAL p raghavan COL venue VAL sigmod conference COL year VAL 2003
325,building notification services with microsoft sqlserver,p seshadri,sigmod conference,2003,COL title VAL building notification services with microsoft sqlserver COL authors VAL p seshadri COL venue VAL sigmod conference COL year VAL 2003
326,vice chair 's message,,,2000,COL title VAL vice chair 's message COL authors VAL  COL venue VAL  COL year VAL 2000
327,google in a box - building the google search appliance,n shivakumar,sigmod conference,2003,COL title VAL google in a box - building the google search appliance COL authors VAL n shivakumar COL venue VAL sigmod conference COL year VAL 2003
328,nonstop sql/mx publish/subscribe : continuous data streams in transaction processing,h zeller,sigmod conference,2003,COL title VAL nonstop sql/mx publish/subscribe : continuous data streams in transaction processing COL authors VAL h zeller COL venue VAL sigmod conference COL year VAL 2003
329,editor 's notes,m franklin,sigmod record,2000,COL title VAL editor 's notes COL authors VAL m franklin COL venue VAL sigmod record COL year VAL 2000
330,data management challenges in crm,g colliat,sigmod conference,2003,COL title VAL data management challenges in crm COL authors VAL g colliat COL venue VAL sigmod conference COL year VAL 2003
331,new tpc benchmarks for decision support and web commerce,"m pіss , c floyd",sigmod record,2000,"COL title VAL new tpc benchmarks for decision support and web commerce COL authors VAL m pіss , c floyd COL venue VAL sigmod record COL year VAL 2000"
332,integration of electronic tickets and personal guide system for public transport using mobile terminals,"k goto , y kambayashi",sigmod conference,2003,"COL title VAL integration of electronic tickets and personal guide system for public transport using mobile terminals COL authors VAL k goto , y kambayashi COL venue VAL sigmod conference COL year VAL 2003"
333,constraint databases : a tutorial introduction,j bussche,sigmod record,2000,COL title VAL constraint databases : a tutorial introduction COL authors VAL j bussche COL venue VAL sigmod record COL year VAL 2000
334,multi-dimensional clustering : a new data layout scheme in db2,"s padmanabhan , b bhattacharjee , t malkemus , l cranston , m huras",sigmod conference,2003,"COL title VAL multi-dimensional clustering : a new data layout scheme in db2 COL authors VAL s padmanabhan , b bhattacharjee , t malkemus , l cranston , m huras COL venue VAL sigmod conference COL year VAL 2003"
335,generating spatiotemporal datasets on the www,"y theodoridis , m nascimento",sigmod record,2000,"COL title VAL generating spatiotemporal datasets on the www COL authors VAL y theodoridis , m nascimento COL venue VAL sigmod record COL year VAL 2000"
336,theory of answering queries using views,a halevy,sigmod record,2000,COL title VAL theory of answering queries using views COL authors VAL a halevy COL venue VAL sigmod record COL year VAL 2000
337,using sets of feature vectors for similarity search on voxelized cad objects,"h kriegel , s brecheisen , p krіger , m pfeifle , m schubert",sigmod conference,2003,"COL title VAL using sets of feature vectors for similarity search on voxelized cad objects COL authors VAL h kriegel , s brecheisen , p krіger , m pfeifle , m schubert COL venue VAL sigmod conference COL year VAL 2003"
338,object database evolution using separation of concerns,"a rashid , p sawyer",sigmod record,2000,"COL title VAL object database evolution using separation of concerns COL authors VAL a rashid , p sawyer COL venue VAL sigmod record COL year VAL 2000"
339,a framework for change diagnosis of data streams,c aggarwal,sigmod conference,2003,COL title VAL a framework for change diagnosis of data streams COL authors VAL c aggarwal COL venue VAL sigmod conference COL year VAL 2003
340,on relational support for xml publishing : beyond sorting and tagging,"s chaudhuri , r kaushik , j naughton",sigmod conference,2003,"COL title VAL on relational support for xml publishing : beyond sorting and tagging COL authors VAL s chaudhuri , r kaushik , j naughton COL venue VAL sigmod conference COL year VAL 2003"
341,moving up the food chain : supporting e-commerce applications on databases,a jhingran,sigmod record,2000,COL title VAL moving up the food chain : supporting e-commerce applications on databases COL authors VAL a jhingran COL venue VAL sigmod record COL year VAL 2000
342,reminiscences on influential papers,,,2000,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 2000
343,qcluster : relevance feedback using adaptive clustering for content-based image retrieval,"d kim , c chung",sigmod conference,2003,"COL title VAL qcluster : relevance feedback using adaptive clustering for content-based image retrieval COL authors VAL d kim , c chung COL venue VAL sigmod conference COL year VAL 2003"
344,oracle xml db repository,v krishnamurthy,sigmod conference,2003,COL title VAL oracle xml db repository COL authors VAL v krishnamurthy COL venue VAL sigmod conference COL year VAL 2003
345,vldb workshop on technologies in e-services ( tes ),,,2000,COL title VAL vldb workshop on technologies in e-services ( tes ) COL authors VAL  COL venue VAL  COL year VAL 2000
346,sigmod program review,,,2000,COL title VAL sigmod program review COL authors VAL  COL venue VAL  COL year VAL 2000
347,oracle rac : architecture and performance,a pruscino,sigmod conference,2003,COL title VAL oracle rac : architecture and performance COL authors VAL a pruscino COL venue VAL sigmod conference COL year VAL 2003
348,the future of web services - i,a bosworth,sigmod conference,2003,COL title VAL the future of web services - i COL authors VAL a bosworth COL venue VAL sigmod conference COL year VAL 2003
349,using quantitative information for efficient association rule generation,"b pєssas , w jr. , m carvalho , r resende",sigmod record,2000,"COL title VAL using quantitative information for efficient association rule generation COL authors VAL b pєssas , w jr. , m carvalho , r resende COL venue VAL sigmod record COL year VAL 2000"
350,the future of web services - ii,f cabrera,sigmod conference,2003,COL title VAL the future of web services - ii COL authors VAL f cabrera COL venue VAL sigmod conference COL year VAL 2003
351,"research and practice in federated information systems , report of the efis ' 2000 international workshop",,,2000,"COL title VAL research and practice in federated information systems , report of the efis ' 2000 international workshop COL authors VAL  COL venue VAL  COL year VAL 2000"
352,processing set expressions over continuous update streams,"s ganguly , m garofalakis , r rastogi",sigmod conference,2003,"COL title VAL processing set expressions over continuous update streams COL authors VAL s ganguly , m garofalakis , r rastogi COL venue VAL sigmod conference COL year VAL 2003"
353,editor 's notes,m franklin,sigmod record,2000,COL title VAL editor 's notes COL authors VAL m franklin COL venue VAL sigmod record COL year VAL 2000
354,cache invalidation scheme for mobile computing systems with real-time data,"j yuen , e chan , k lam , h leung",sigmod record,2000,"COL title VAL cache invalidation scheme for mobile computing systems with real-time data COL authors VAL j yuen , e chan , k lam , h leung COL venue VAL sigmod record COL year VAL 2000"
355,robust and efficient fuzzy match for online data cleaning,"s chaudhuri , k ganjam , v ganti , r motwani",sigmod conference,2003,"COL title VAL robust and efficient fuzzy match for online data cleaning COL authors VAL s chaudhuri , k ganjam , v ganti , r motwani COL venue VAL sigmod conference COL year VAL 2003"
356,mapping data in peer-to-peer systems : semantics and algorithmic issues,"a kementsietsidis , m arenas , r miller",sigmod conference,2003,"COL title VAL mapping data in peer-to-peer systems : semantics and algorithmic issues COL authors VAL a kementsietsidis , m arenas , r miller COL venue VAL sigmod conference COL year VAL 2003"
357,a vision of management of complex models,"p bernstein , a halevy , r pottinger",sigmod record,2000,"COL title VAL a vision of management of complex models COL authors VAL p bernstein , a halevy , r pottinger COL venue VAL sigmod record COL year VAL 2000"
358,scientific data repositories : designing for a moving target,"e stolte , c praun , g alonso , t gross",sigmod conference,2003,"COL title VAL scientific data repositories : designing for a moving target COL authors VAL e stolte , c praun , g alonso , t gross COL venue VAL sigmod conference COL year VAL 2003"
359,chair 's message,,,2000,COL title VAL chair 's message COL authors VAL  COL venue VAL  COL year VAL 2000
360,stream processing of xpath queries with predicates,"a gupta , d suciu",sigmod conference,2003,"COL title VAL stream processing of xpath queries with predicates COL authors VAL a gupta , d suciu COL venue VAL sigmod conference COL year VAL 2003"
